AltaFlorestaD'Oeste;RO;22945
Ariquemes;RO;107863
Cabixi;RO;5312
Cacoal;RO;85359
Cerejeiras;RO;16323
ColoradodoOeste;RO;15882
Corumbiara;RO;7391
CostaMarques;RO;18331
EspigãoD'Oeste;RO;32374
Guajará-Mirim;RO;46174
Jaru;RO;51775
Ji-Paraná;RO;128969
MachadinhoD'Oeste;RO;39991
NovaBrasilândiaD'Oeste;RO;20474
OuroPretodoOeste;RO;36035
PimentaBueno;RO;36660
PortoVelho;RO;529544
PresidenteMédici;RO;18986
RioCrespo;RO;3764
RolimdeMoura;RO;55058
SantaLuziaD'Oeste;RO;6495
Vilhena;RO;99854
SãoMigueldoGuaporé;RO;23005
NovaMamoré;RO;30583
AlvoradaD'Oeste;RO;14411
AltoAlegredosParecis;RO;13241
AltoParaíso;RO;21428
Buritis;RO;39654
NovoHorizontedoOeste;RO;8538
Cacaulândia;RO;6230
CampoNovodeRondônia;RO;14139
CandeiasdoJamari;RO;26693
Castanheiras;RO;3052
Chupinguaia;RO;11182
Cujubim;RO;25215
GovernadorJorgeTeixeira;RO;7767
ItapuãdoOeste;RO;10458
MinistroAndreazza;RO;9660
MirantedaSerra;RO;10947
MonteNegro;RO;15852
NovaUnião;RO;6970
Parecis;RO;6074
PimenteirasdoOeste;RO;2169
PrimaveradeRondônia;RO;2856
SãoFelipeD'Oeste;RO;5172
SãoFranciscodoGuaporé;RO;20266
Seringueiras;RO;11856
Teixeirópolis;RO;4308
Theobroma;RO;10444
Urupá;RO;11467
ValedoAnari;RO;11204
ValedoParaíso;RO;6825
Acrelândia;AC;15256
AssisBrasil;AC;7417
Brasiléia;AC;26278
Bujari;AC;10266
Capixaba;AC;11733
CruzeirodoSul;AC;88376
Epitaciolândia;AC;18411
Feijó;AC;34780
Jordão;AC;8317
MâncioLima;AC;18977
ManoelUrbano;AC;9459
MarechalThaumaturgo;AC;18867
PlácidodeCastro;AC;19761
PortoWalter;AC;11982
RioBranco;AC;407319
RodriguesAlves;AC;18930
SantaRosadoPurus;AC;6540
SenadorGuiomard;AC;23024
SenaMadureira;AC;45848
Tarauacá;AC;42567
Xapuri;AC;19323
PortoAcre;AC;18504
Alvarães;AM;16041
Amaturá;AM;11536
Anamã;AM;13614
Anori;AM;21010
Apuí;AM;21973
AtalaiadoNorte;AM;19921
Autazes;AM;39565
Barcelos;AM;27502
Barreirinha;AM;32041
BenjaminConstant;AM;42984
Beruri;AM;19679
BoaVistadoRamos;AM;19207
BocadoAcre;AM;34308
Borba;AM;41161
Caapiranga;AM;13081
Canutama;AM;15629
Carauari;AM;28294
Careiro;AM;37869
CareirodaVárzea;AM;30225
Coari;AM;85097
Codajás;AM;28637
Eirunepé;AM;35273
Envira;AM;20033
FonteBoa;AM;17609
Guajará;AM;16678
Humaitá;AM;55080
Ipixuna;AM;29689
Iranduba;AM;48296
Itacoatiara;AM;101337
Itamarati;AM;7851
Itapiranga;AM;9148
Japurá;AM;2755
Juruá;AM;14712
Jutaí;AM;14317
Lábrea;AM;46069
Manacapuru;AM;97377
Manaquiri;AM;32105
Manaus;AM;2182763
Manicoré;AM;55751
Maraã;AM;18224
Maués;AM;63905
Nhamundá;AM;21173
NovaOlindadoNorte;AM;37378
NovoAirão;AM;19454
NovoAripuanã;AM;25644
Parintins;AM;114273
Pauini;AM;19426
PresidenteFigueiredo;AM;36279
RioPretodaEva;AM;33347
SantaIsabeldoRioNegro;AM;25156
SantoAntôniodoIçá;AM;21602
SãoGabrieldaCachoeira;AM;45564
SãoPaulodeOlivença;AM;39299
SãoSebastiãodoUatumã;AM;14020
Silves;AM;9171
Tabatinga;AM;65844
Tapauá;AM;17156
Tefé;AM;59849
Tonantins;AM;18755
Uarini;AM;13540
Urucará;AM;16256
Urucurituba;AM;23065
Amajari;RR;12796
AltoAlegre;RR;15510
BoaVista;RR;399213
Bonfim;RR;12409
Cantá;RR;18335
Caracaraí;RR;21926
Caroebe;RR;10169
Iracema;RR;11950
Mucajaí;RR;17853
Normandia;RR;11290
Pacaraima;RR;17401
Rorainópolis;RR;30163
SãoJoãodaBaliza;RR;8201
SãoLuiz;RR;7986
Uiramutã;RR;10559
Abaetetuba;PA;157698
AbelFigueiredo;PA;7434
Acará;PA;55591
Afuá;PA;39218
ÁguaAzuldoNorte;PA;27430
Alenquer;PA;56789
Almeirim;PA;34109
Altamira;PA;114594
Anajás;PA;29277
Ananindeua;PA;530598
Anapu;PA;27890
AugustoCorrêa;PA;45998
AuroradoPará;PA;31338
Aveiro;PA;16388
Bagre;PA;30673
Baião;PA;47446
Bannach;PA;3286
Barcarena;PA;124680
Belém;PA;1492745
Belterra;PA;17732
Benevides;PA;62737
BomJesusdoTocantins;PA;16981
Bonito;PA;16286
Bragança;PA;127686
BrasilNovo;PA;15086
BrejoGrandedoAraguaia;PA;7380
BreuBranco;PA;66046
Breves;PA;102701
Bujaru;PA;29132
CachoeiradoPiriá;PA;33900
CachoeiradoArari;PA;23767
Cametá;PA;137890
CanaãdosCarajás;PA;37085
Capanema;PA;69027
CapitãoPoço;PA;54303
Castanhal;PA;200793
Chaves;PA;23717
Colares;PA;12085
ConceiçãodoAraguaia;PA;47864
ConcórdiadoPará;PA;33318
CumarudoNorte;PA;13473
Curionópolis;PA;17929
Curralinho;PA;34448
Curuá;PA;14393
Curuçá;PA;40066
DomEliseu;PA;59719
EldoradodoCarajás;PA;33808
Faro;PA;7194
FlorestadoAraguaia;PA;20304
GarrafãodoNorte;PA;26066
GoianésiadoPará;PA;40475
Gurupá;PA;33376
Igarapé-Açu;PA;38807
Igarapé-Miri;PA;62698
Inhangapi;PA;11711
IpixunadoPará;PA;64053
Irituia;PA;32550
Itaituba;PA;101247
Itupiranga;PA;53269
Jacareacanga;PA;8239
Jacundá;PA;59155
Juruti;PA;57943
LimoeirodoAjuru;PA;28935
MãedoRio;PA;30077
MagalhãesBarata;PA;8548
Marabá;PA;279349
Maracanã;PA;29473
Marapanim;PA;28336
Marituba;PA;131521
Medicilândia;PA;31597
Melgaço;PA;27654
Mocajuba;PA;31136
Moju;PA;82094
MojuídosCampos;PA;16084
MonteAlegre;PA;58032
Muaná;PA;40349
NovaEsperançadoPiriá;PA;21368
NovaIpixuna;PA;16678
NovaTimboteua;PA;15363
NovoProgresso;PA;25762
NovoRepartimento;PA;75919
Óbidos;PA;52137
OeirasdoPará;PA;32512
Oriximiná;PA;73096
Ourém;PA;17842
OurilândiadoNorte;PA;32832
Pacajá;PA;47706
PalestinadoPará;PA;7589
Paragominas;PA;113145
Parauapebas;PA;208273
PauD'Arco;PA;5483
Peixe-Boi;PA;8077
Piçarra;PA;12981
Placas;PA;30982
PontadePedras;PA;31082
Portel;PA;62043
PortodeMoz;PA;41135
Prainha;PA;29866
Primavera;PA;10825
Quatipuru;PA;13608
Redenção;PA;84787
RioMaria;PA;18193
RondondoPará;PA;52357
Rurópolis;PA;50510
Salinópolis;PA;40675
Salvaterra;PA;23752
SantaBárbaradoPará;PA;21079
SantaCruzdoArari;PA;10128
SantaIzabeldoPará;PA;70801
SantaLuziadoPará;PA;19848
SantaMariadasBarreiras;PA;21449
SantaMariadoPará;PA;24861
SantanadoAraguaia;PA;72817
Santarém;PA;304589
SantarémNovo;PA;6709
SantoAntôniodoTauá;PA;31482
SãoCaetanodeOdivelas;PA;18050
SãoDomingosdoAraguaia;PA;25557
SãoDomingosdoCapim;PA;31989
SãoFélixdoXingu;PA;128481
SãoFranciscodoPará;PA;15882
SãoGeraldodoAraguaia;PA;24847
SãoJoãodaPonta;PA;6139
SãoJoãodePirabas;PA;23045
SãoJoãodoAraguaia;PA;13996
SãoMigueldoGuamá;PA;58986
SãoSebastiãodaBoaVista;PA;26640
Sapucaia;PA;5930
SenadorJoséPorfírio;PA;11658
Soure;PA;25374
Tailândia;PA;106339
TerraAlta;PA;11720
TerraSanta;PA;18769
Tomé-Açu;PA;63447
Tracuateua;PA;30959
Trairão;PA;18989
Tucumã;PA;39602
Tucuruí;PA;113659
Ulianópolis;PA;59210
Uruará;PA;45476
Vigia;PA;53686
Viseu;PA;61403
VitóriadoXingu;PA;15134
Xinguara;PA;44751
SerradoNavio;AP;5397
Amapá;AP;9109
PedraBrancadoAmapari;AP;16502
Calçoene;AP;11117
Cutias;AP;5983
FerreiraGomes;AP;7780
Itaubal;AP;5503
LaranjaldoJari;AP;50410
Macapá;AP;503327
Mazagão;AP;21632
Oiapoque;AP;27270
PortoGrande;AP;21971
Pracuúba;AP;5120
Santana;AP;121364
Tartarugalzinho;AP;17315
VitóriadoJari;AP;15931
Abreulândia;TO;2579
Aguiarnópolis;TO;6733
AliançadoTocantins;TO;5390
Almas;TO;7055
Alvorada;TO;8412
Ananás;TO;9549
Angico;TO;3433
AparecidadoRioNegro;TO;4795
Aragominas;TO;5758
Araguacema;TO;7086
Araguaçu;TO;8517
Araguaína;TO;180470
Araguanã;TO;5729
Araguatins;TO;35761
Arapoema;TO;6643
Arraias;TO;10567
Augustinópolis;TO;18412
AuroradoTocantins;TO;3757
AxixádoTocantins;TO;9756
Babaçulândia;TO;10664
BandeirantesdoTocantins;TO;3553
BarradoOuro;TO;4591
Barrolândia;TO;5632
BernardoSayão;TO;4459
BomJesusdoTocantins;TO;4894
BrasilândiadoTocantins;TO;2201
BrejinhodeNazaré;TO;5497
BuritidoTocantins;TO;11348
Cachoeirinha;TO;2275
CamposLindos;TO;10116
CariridoTocantins;TO;4382
Carmolândia;TO;2580
CarrascoBonito;TO;4095
Caseara;TO;5369
Centenário;TO;2905
ChapadadeAreia;TO;1406
ChapadadaNatividade;TO;3333
ColinasdoTocantins;TO;35424
Combinado;TO;4852
ConceiçãodoTocantins;TO;4105
CoutoMagalhães;TO;5588
Cristalândia;TO;7289
CrixásdoTocantins;TO;1722
Darcinópolis;TO;6097
Dianópolis;TO;22139
DivinópolisdoTocantins;TO;6900
